tops	1
groan	-1
perfects	1
spammer	-1
saluting	1
transgresses	-1
punishes	-1
wasting	-1
virulent	-1
complaining	-1
super	1
loving	1
stuck	-1
amazing	1
funny	1
advisable	1
restored	1
mock	-1
avoid	-1
menaces	-1
humiliation	-1
irreversible	-1
conspiracy	-1
fiasco	-1
excellent	1
delightfully	1
amused	1
belittle	-1
traps	-1
escapes	-1
adoring	1
dishonest	-1
fatigues	-1
fame	1
scars	-1
promptly	1
horrendous	-1
terrorizes	-1
blamed	-1
desperately	-1
charged	-1
hardy	1
elation	1
bribed	-1
adventurous	1
raptured	1
harassed	-1
disproportionate	-1
resign	-1
hugs	1
expelled	-1
drained	-1
fidgety	-1
cutbacks	-1
passionate	1
obliterated	-1
goofiness	-1
loathes	-1
catastrophe	-1
stereotype	-1
sceptical	-1
offline	-1
restriction	-1
fucking good	1
glamorous	1
advantages	1
convince	1
exultant	1
stabs	-1
disconsolation	-1
blissful	1
upsetting	-1
gloomy	-1
ha	1
lags	-1
dubious	-1
colluding	-1
threatened	-1
unpleasant	-1
clears	1
aggravate	-1
validating	1
misbehaves	-1
burdening	-1
threatens	-1
braveness	1
enslaves	-1
wanker	-1
goddamn	-1
homicides	-1
strengthening	1
assets	1
goodness	1
support	1
sorrow	-1
fools	-1
rises	1
cheery	1
incoherent	-1
disparages	-1
defraud	-1
stampede	-1
champion	1
successful	1
eager	1
exploration	1
stank	-1
endorses	1
agreed	1
drowns	-1
deceit	-1
insult	-1
disregard	-1
gross	-1
lucky	1
greatest	1
brave	1
bastard	-1
caring	1
collides	-1
startling	1
save	1
possessive	-1
unintelligent	-1
disrespected	-1
clever	1
smart	1
interrupts	-1
effectiveness	1
dissatisfied	-1
underperforms	-1
cynicism	-1
goofy	-1
racism	-1
aborts	-1
hehe	1
tribulation	-1
misread	-1
well-championed	1
forgot	-1
fascinating	1
fearsome	-1
greeted	1
lag	-1
ban	-1
smiled	1
well-developed	1
prominent	1
spammers	-1
awful	-1
zealous	1
grateful	1
disastrous	-1
phobic	-1
collapses	-1
disregarded	-1
stressed	-1
drowned	-1
beating	-1
boost	1
looms	-1
neglect	-1
expelling	-1
growing	1
emptiness	-1
blocks	-1
smuggled	-1
discord	-1
lawl	1
integrity	1
qualities	1
pardons	1
discriminates	-1
passion	1
smuggle	-1
huckster	-1
exposed	-1
vitality	1
cowardly	-1
annoying	-1
nervous	-1
corrupts	-1
noob	-1
fearfully	-1
ease	1
inflamed	-1
terrifically	1
frustrated	-1
arrested	-1
restoring	1
stalled	-1
falling	-1
fag	-1
suicides	-1
recommends	1
ineptitude	-1
improve	1
fatigue	-1
awaited	-1
validate	1
cynic	-1
mature	1
blind	-1
gloom	-1
unhappiness	-1
rigged	-1
outbreak	-1
inept	-1
devoted	1
impress	1
solemn	-1
lonely	-1
attacked	-1
terribly	-1
jubilant	1
share	1
laughs	1
scar	-1
insecure	-1
bizarre	-1
pleasure	1
sloppy	-1
ostracizes	-1
safely	1
solidifying	1
righteousness	1
wishing	1
abhorrent	-1
impaired	-1
misbehave	-1
overstatements	-1
impairing	-1
disappointment	-1
collapsing	-1
murderous	-1
censor	-1
illnesses	-1
shy	-1
demoralizing	-1
proactive	1
unwanted	-1
wrongdoing	-1
tyrannical	-1
pretending	-1
pillage	-1
asset	1
corrupting	-1
nurturing	1
lool	1
apeshit	-1
plagued	-1
losses	-1
jovial	1
carefully	1
likeable	1
jailed	-1
warfare	-1
insane	-1
sentence	-1
vulnerability	-1
disadvantage	-1
youthful	1
nerves	-1
appreciated	1
exclude	-1
gem	1
bankruptcy	-1
maladaption	-1
prudence	1
misreport	-1
hospitalized	-1
commit	1
dejecting	-1
lololol	1
exploiting	-1
coward	-1
restricted	-1
murder	-1
promotes	1
absorbed	1
reassure	1
greedy	-1
slashed	-1
comprehensive	1
slick	1
pitied	-1
comforts	1
hellish	-1
assfucking	-1
die	-1
failed	-1
killed	-1
frenzy	-1
misrepresents	-1
suspend	-1
meditative	1
whitewash	-1
hail	1
insufficiently	-1
misbehaving	-1
worry	-1
apologised	-1
approved	1
rapture	1
deteriorates	-1
unlikely	-1
endorsement	1
unable	-1
lunatic	-1
antagonistic	-1
favourited	1
spirit	1
championed	1
exhilarates	1
dilemma	-1
painful	-1
aggressiveness	-1
killing	-1
threat	-1
favored	1
fascist	-1
unfitted	-1
invincible	1
breached	-1
violate	-1
reprimand	-1
pleasant	1
injustice	-1
intransigence	-1
effortlessly	1
sues	-1
ashame	-1
lobbyists	-1
exacerbated	-1
indestructible	1
accuse	-1
deploring	-1
imprisoned	-1
prohibit	-1
sympathy	1
cheers	1
promoting	1
deports	-1
scorn	-1
ashamed	-1
trust	1
backs	1
bastards	-1
appease	1
numb	-1
stimulate	1
imposter	-1
bailout	-1
strike	-1
lifesaver	1
passively	-1
violent	-1
gun	-1
overran	-1
uninvolving	-1
smartest	1
coziness	1
accomplishment	1
aggravating	-1
succeeding	1
ill-fated	-1
skeptical	-1
limitation	-1
horrific	-1
squander	-1
promised	1
acquits	1
accomplishments	1
starved	-1
contaminate	-1
cherishes	1
free	1
stabbed	-1
attractiveness	1
undeserving	-1
overweight	-1
disrupting	-1
devastations	-1
fucking love	1
naïve	-1
tumor	-1
fuckhead	-1
cuts	-1
unbelievable	-1
appropriately	1
chilling	-1
fan	1
pained	-1
rage	-1
sulking	-1
wisdom	1
unsupported	-1
lifeless	-1
barbaric	-1
failure	-1
infringement	-1
wish	1
distracted	-1
breakthrough	1
irritated	-1
aggressions	-1
mesmerizing	1
overlooked	-1
fondness	1
cheer	1
provokes	-1
ability	1
empathetic	1
demonstration	-1
interruption	-1
significance	1
menaced	-1
tears	-1
douche	-1
commitment	1
encouraging	1
cheering	1
humourous	1
eerie	-1
impairment	-1
dauntless	1
offense	-1
chastised	-1
reaches	1
reassures	1
shoody	-1
barbarous	-1
amuse	1
stout	1
discarded	-1
infection	-1
arsehole	-1
rejects	-1
congratulation	1
chic	1
cheaters	-1
corruption	-1
kidnapped	-1
innovates	1
game-changing	1
harried	-1
questioning	-1
debonair	1
contamination	-1
hurt	-1
filth	-1
solves	1
inhuman	-1
oversight	-1
agree	1
kidnappings	-1
unsophisticated	-1
engrossed	1
firing	-1
innovate	1
despairs	-1
salute	1
hatred	-1
favourite	1
unacceptable	-1
talent	1
vomiting	-1
violently	-1
gr8	1
gracious	1
ranter	-1
exonerated	1
wreck	-1
boosting	1
misinformed	-1
criticized	-1
plodding	-1
welcomed	1
cock	-1
prevents	-1
immune	1
suicide	-1
donating	1
stealing	-1
unequaled	1
capability	1
survivor	1
fine	1
whimsical	1
detain	-1
applause	1
chiding	-1
harming	-1
contend	-1
grey	-1
annoy	-1
disruptive	-1
clash	-1
infected	-1
entrusted	1
downhearted	-1
strangled	-1
false	-1
fear	-1
dirtiest	-1
exclusion	-1
post-traumatic	-1
justifiably	1
wealthy	1
seamlessly	1
favour	1
disruption	-1
cheerless	-1
transgressing	-1
deft	1
bribes	-1
joyfully	1
undermine	-1
lmfao	1
noble	1
fairness	1
homesick	-1
infantile	-1
justice	1
charmless	-1
discomfort	-1
forbid	-1
inoperative	-1
entitled	1
mumpish	-1
cheated	-1
destructive	-1
like	1
vibrant	1
hopes	1
disquiet	-1
depressing	-1
grace	1
secure	1
heartbroken	-1
embezzlement	-1
adored	1
drags	-1
imprisonment	-1
droopy	-1
underperformed	-1
wonderful	1
swiftly	1
bitterest	-1
cool stuff	1
faking	-1
fines	-1
misinterpreted	-1
mourning	-1
heroes	1
contaminant	-1
kinder	1
cancel	-1
haunting	1
envious	-1
snubbed	-1
misunderstands	-1
sinister	-1
stop	-1
abilities	1
obscene	-1
leadership	1
frikin	-1
strengthens	1
libelous	-1
thwarted	-1
unparliamentary	-1
misconducted	-1
misfire	-1
denied	-1
stinky	-1
ambitious	1
disillusioned	-1
inaction	-1
inspirational	1
victimization	-1
trauma	-1
hooligans	-1
joke	1
unfocused	-1
alas	-1
terrible	-1
politeness	1
altruistic	1
miserable	-1
disagree	-1
groans	-1
